SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
0, 0.0000, 0, -0.4699, 0.1886, -0.8814, 0.1255, 0.0146, -0.3833, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0489, -0.2574, 0.1974, -0.0030, -0.0054, -0.0186, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0050, 1, -0.4778, 0.1886, -0.8776, -0.1384, 0.0047, -0.3777, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9446, -0.0490, -0.2575, 0.1974, -0.0107, -0.0057, -0.0150, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0100, 2, -0.4657, 0.1888, -0.8699, -0.5342, 0.1368, 0.1036, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0490, -0.2574, 0.1974, 0.0012, -0.0054, -0.0072, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0150, 3, -0.4738, 0.2005, -0.8738, -0.0785, 0.1988, -0.8591, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0491, -0.2574, 0.1974, -0.0069, 0.0062, -0.0111, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0200, 4, -0.4537, 0.1967, -0.8700, 0.0675, -0.3911, -0.2374, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0491, -0.2573, 0.1974, 0.0130, 0.0023, -0.0072, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0250, 5, -0.4857, 0.1927, -0.8699, -1.1201, -0.5086, -0.4148, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0491, -0.2573, 0.1974, -0.0191, -0.0018, -0.0071, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0300, 6, -0.4659, 0.1924, -0.8853, -1.2703, 0.5755, -0.2309, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0492, -0.2572, 0.1973, 0.0007, -0.0021, -0.0225, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0350, 7, -0.4657, 0.1967, -0.8661, 0.0612, -0.2738, -0.9879, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0492, -0.2572, 0.1973, 0.0009, 0.0023, -0.0033, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0400, 8, -0.4817, 0.1888, -0.8660, -0.5994, 0.0649, 0.0384, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0491, -0.2572, 0.1973, -0.0150, -0.0055, -0.0032, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0450, 9, -0.4776, 0.1889, -0.8622, -0.4541, -0.8952, -0.6241, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0491, -0.2573, 0.1973, -0.0109, -0.0054, 0.0006, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0500, 10, -0.4618, 0.2005, -0.8738, -0.5206, -0.6068, 0.1872, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0491, -0.2573, 0.1973, 0.0049, 0.0061, -0.0111, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0550, 11, -0.4658, 0.2044, -0.8739, -0.3887, -0.6018, 0.1844, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0492, -0.2573, 0.1973, 0.0010, 0.0100, -0.0111, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0600, 12, -0.4780, 0.2081, -0.8816, -0.4585, -0.4754, -0.0889, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0492, -0.2573, 0.1972, -0.0112, 0.0136, -0.0189, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0650, 13, -0.4777, 0.1888, -0.8660, -0.1996, -0.2688, -0.3706, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0492, -0.2574, 0.1972, -0.0108, -0.0056, -0.0034, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0700, 14, -0.4576, 0.2007, -0.8623, -0.9198, -0.4168, 0.2592, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0493, -0.2574, 0.1972, 0.0092, 0.0060, 0.0003, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0750, 15, -0.4658, 0.1926, -0.8776, -0.2489, -0.9274, 0.5285, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0493, -0.2574, 0.1972, 0.0010, -0.0022, -0.0150, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0800, 16, -0.4577, 0.1928, -0.8699, -0.7278, -0.2904, -0.4274, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0494, -0.2573, 0.1972, 0.0089, -0.0020, -0.0072, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0850, 17, -0.4578, 0.1926, -0.8776, -0.4683, -0.0078, -0.3707, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9448, -0.0493, -0.2571, 0.1972, 0.0085, -0.0020, -0.0147, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0900, 18, -0.4697, 0.1848, -0.8737, -0.3973, -0.2019, -0.0960, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9448, -0.0492, -0.2571, 0.1972, -0.0034, -0.0096, -0.0107, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0950, 19, -0.4698, 0.1847, -0.8775, -0.3312, -0.2722, -0.2999, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9448, -0.0491, -0.2570, 0.1972, -0.0035, -0.0095, -0.0145, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.1000, 20, -0.4696, 0.2007, -0.8623, -0.4022, -0.0780, -0.5746, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9448, -0.0491, -0.2571, 0.1972, -0.0033, 0.0065, 0.0007, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.1050, 21, -0.4739, 0.1807, -0.8852, -0.4063, 0.1963, -0.4444, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9448, -0.0491, -0.2570, 0.1972, -0.0076, -0.0134, -0.0221, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.1100, 22, -0.4778, 0.2004, -0.8738, 0.0624, -0.1944, -0.5135, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9448, -0.0491, -0.2570, 0.1972, -0.0115, 0.0063, -0.0108, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.1150, 23, -0.4896, 0.1929, -0.8584, -0.5937, -0.2755, -0.0224, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9448, -0.0491, -0.2572, 0.1972, -0.0230, -0.0013, 0.0045, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.1200, 24, -0.4656, 0.1890, -0.8622, -0.5210, -0.6085, 0.1192, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0491, -0.2572, 0.1972, 0.0011, -0.0053, 0.0006, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.1250, 25, -0.4618, 0.2005, -0.8738, -0.8591, -0.2921, -0.2887, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0491, -0.2572, 0.1972, 0.0049, 0.0063, -0.0110, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.1300, 26, -0.4896, 0.2046, -0.8585, -0.1912, -0.5233, 0.3147, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9447, -0.0491, -0.2574, 0.1972, -0.0226, 0.0103, 0.0042, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.1350, 27, -0.4739, 0.1965, -0.8776, -0.0777, 0.1294, -0.9256, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, -0.9446, -0.0492, -0.2576, 0.1971, -0.0066, 0.0019, -0.0152, 0.0000, 0.0000, 0.0000, 0.0000
