SensorId, TimeStamp (s), FrameNumber, AccX (g), AccY (g), AccZ (g), GyroX (deg/s), GyroY (deg/s), GyroZ (deg/s), MagX (uT), MagY (uT), MagZ (uT), EulerX (deg), EulerY (deg), EulerZ (deg), QuatW, QuatX, QuatY, QuatZ, LinAccX (g), LinAccY (g), LinAccZ (g), Pressure (kPa), Altitude (m), Temperature (degC), HeaveMotion (m)
0, 0.0000, 0, -0.4817, 0.2085, -0.8624, 0.4019, -0.0749, 0.0359, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0001, -0.0007, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0050, 1, -0.4738, 0.2084, -0.8701, -0.1274, -0.1014, -0.2248, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0001, -0.0006, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0075, 2, -0.4777, 0.1927, -0.8699, -0.3892, -0.1015, 0.1886, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0001, -0.0006, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0100, 3, -0.4697, 0.1888, -0.8699, -0.0617, 0.0465, 0.1788, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0006, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0125, 4, -0.4736, 0.2008, -0.8585, 0.2001, 0.0465, -0.2346, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0006, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0150, 5, -0.4778, 0.2044, -0.8739, -0.2566, -0.2403, -0.1512, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0006, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0175, 6, -0.4738, 0.2005, -0.8738, 0.6748, -0.4632, 0.3787, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0006, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0200, 7, -0.4776, 0.1968, -0.8584, 0.2770, -0.4137, 0.2497, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0005, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0225, 8, -0.4738, 0.1965, -0.8738, -0.1944, 0.0382, 0.0456, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0002, -0.0006, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0275, 9, -0.4738, 0.2044, -0.8739, 0.3357, -0.0047, 0.2398, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0002, -0.0006, 0.0027, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0300, 10, -0.4701, 0.2119, -0.8893, -0.2600, 0.0374, 0.1150, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0007, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0350, 11, -0.4659, 0.2161, -0.8740, -0.5914, 0.0183, -0.1499, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0000, -0.0008, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0375, 12, -0.4658, 0.2124, -0.8663, -0.3341, 0.5108, 0.1744, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -0.0008, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0400, 13, -0.4699, 0.2082, -0.8778, 0.0695, 0.0481, 0.0401, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0001, -0.0009, 0.0029, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0500, 14, -0.4856, 0.2006, -0.8623, 0.3995, 0.0606, 0.0331, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0001, -0.0008, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0525, 15, -0.4776, 0.2047, -0.8585, -0.3196, -0.3023, 0.1915, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0001, -0.0008, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0550, 16, -0.4654, 0.1931, -0.8507, 0.0692, 0.0465, -0.0279, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -0.0007, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0575, 17, -0.4736, 0.2008, -0.8585, -0.2577, -0.2452, -0.3551, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -0.0007, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0600, 18, -0.4858, 0.2162, -0.8663, 0.0605, 0.4464, -0.3083, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0001, -0.0007, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0625, 19, -0.4698, 0.1966, -0.8738, 0.2018, -0.0923, -0.3677, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -0.0007, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0650, 20, -0.4616, 0.2007, -0.8623, -0.1926, -0.1733, -0.2899, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -0.0007, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0675, 21, -0.4698, 0.1887, -0.8737, -0.3276, 0.1010, 0.0470, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0008, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0700, 22, -0.4658, 0.2084, -0.8701, -0.1263, 0.0506, 0.4520, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0000, -0.0008, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0725, 23, -0.4737, 0.2163, -0.8625, -0.3985, 0.4422, 0.2452, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0001, -0.0008, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0750, 24, -0.4618, 0.1966, -0.8738, -0.1339, 0.0886, -0.7727, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, 0.0000, -0.0009, 0.0029, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0775, 25, -0.4659, 0.1965, -0.8776, -0.1228, -0.4468, -0.4895, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0000, -0.0009, 0.0029, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0800, 26, -0.4738, 0.1925, -0.8776, 0.1336, 0.1151, -0.0987, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0009, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0825, 27, -0.4736, 0.2008, -0.8585, 0.1962, 0.3952, 0.1661, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0009, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0850, 28, -0.4817, 0.2046, -0.8624, 0.3856, 0.7299, -0.3209, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0009, 0.0028, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
0, 0.0875, 29, -0.4697, 0.2084, -0.8662, -0.1322, 0.1696, -0.2305, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 1.0000, -0.0001, -0.0009, 0.0029, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000
